Title,Rating,Votes,Duration,Genre
333. Tayna Chyornoy Ruki,5.7, (22),1h 24m,family
334. Al Eid Eiden,6.1, (11),1h 50m,family
335. YA - medved,4.9, (61),1h 37m,family
336. Kaagada,8.8, (13),2h 29m,family
339. When the World Met Miss Probinsyana,9.5, (42),2h 35m,family
340. Odna doma. Velikolepnaya pyatyorka,4.1, (39),1h 25m,family
341. Once Upon a Christmas,6.8, (13),1h 55m,family
342. Max und die wilde 7: Die Geister-Oma,6.2, (46),1h 30m,family
344. Perfekta: Uma Aventura da Escola de Gênios,5.8, (15),1h 32m,family
345. Malyshariki. Den rozhdeniya,5.8, (28),52m,family
347. Lek Asavi Tar Ashi,5.5, (13),2h 23m,family
350. Khelaghar Bandhte Legechi,8.0, (7),1h 40m,family
352. Last Defenders of Monogamy,5.3, (385),1h 24m,family
353. Klaantha,6.2, (518),1h 47m,family
355. Iwájú: A Day Ahead,6.8, (73),1h 11m,family
357. Vindu Bhojanam,7.2, (54),1h 43m,family
"358. Poymay sobaku, esli smozhesh",3.5, (36),1h 36m,family
359. Udanadi Mangalyam,2.9, (24),1h 30m,family
360. Princezna na hrásku,5.6, (63),1h 20m,family
362. Mezhdu nami,5.1, (35),1h 33m,family
363. A House Without a Father,6.2, (34),1h 1m,family
367. V banyu!,5.2, (69),1h 39m,family
368. Papu mame zaverni,3.5, (67),1h 46m,family
371. Moyo sobache delo,5.2, (41),1h 17m,family
372. My Dad Is an Alien,8.0, (18),1h 36m,family
373. Prinsessa Pikkiriikki,6.1, (39),1h 15m,family
374. Novogodnee chudo,5.5, (14),1h 13m,family
375. Kattis Gang,8.2, (403),2h 24m,family
377. Give 'Em Hell Honey!,6.1, (11),1h 34m,family
378. Vovó Ninja,5.2, (21),1h 36m,family
379. Let's Go! Anpanman: Baikinman and Lulun,6.5, (7),1h 4m,family
381. Arne Alligator och djungelkompisarna,4.6, (48),1h 1m,family
382. Bitva pap,4.5, (24),1h 19m,family
383. Neposlushniki,4.9, (93),1h 48m,family
392. Korporatsiya Morozov,5.5, (30),1h 23m,family
393. Kazhdyy mechtaet o sobake,5.2, (31),1h 30m,family
394. The Christmas Room,6.4, (52),1h 39m,family
395. Mukhadrakon,5.3, (16),1h 49m,family
399. Suvorovets 1944,5.6, (8),1h 30m,family
402. Tui Ke Amar,6.6, (6),1h 54m,family
405. Uparwala & Sons,9.2, (322),2h 6m,family
411. Childhood Tales,7.3, (20),1h 3m,family
412. Give You a Candy,5.4, (14),2h 14m,family
413. A Christmas Reunion,4.9, (11),1h 4m,family
416. Haddhu Ledhu Raa,7.3, (2K),1h 52m,family
417. Nebesko,5.2, (10),1h 13m,family
418. Idu Entha Lokavayya,6.6, (7),2h,family
421. Appa I Love You,8.7, (543),2h 25m,family
423. Uzhaipalar Thinam,4.3, (7),2h 2m,family
425. Selebryata,3.6, (20),1h 33m,family
427. Príncipe Lu e a Lenda do Dragão,4.2, (27),1h 30m,family
434. Person of the Year,5.8, (11),1h 40m,family
438. Omar v bolshom kino,5.8, (26),1h 26m,family
439. LUDA,7.2, (6),1h 26m,family
441. Pinnil Oral,6.0, (113),2h 7m,family
458. Skazochnyy patrul. Shou prodolzhayetsya,7.2, (11),1h 5m,family
459. Kallu Compound 1995,8.1, (2K),2h 20m,family
460. Iyus Jenius,9.0, (7),1h 22m,family
467. Fien & Teun Circus op de Boerderij,5.6, (11),1h 17m,family
486. Wholesome Grove,7.0, (8),1h 39m,family
500. Borjatri,8.4, (6),1h 12m,family
514. Mallemogga,9.0, (11),2h 12m,family
526. Salamat Rahe Dostana Hamara (SRDH),9.3, (87),1h,family
538. Tomari Sathe,8.0, (8),54m,family
540. Gyakorlat teszi a mestert,6.1, (15),46m,family
547. Beyaz Zenciler: Yapim Asamasi,8.6, (5),55m,family
