Title,Rating,Votes,Duration,Genre
"388. Fallen Leaves, Broken Lighters",7.7, (7),1h 36m,Adventure
391. Petualangan Anak Penangkap Hantu,6.0, (24),1h 39m,Adventure
393. Goodbye Hamdi,6.2, (8),1h 25m,Adventure
394. Lo carga el diablo,7.6, (22),1h 44m,Adventure
398. Pirates & Slaves,5.8, (6),53m,Adventure
400. Suchana,9.0, (527),1h 30m,Adventure
401. The Last Five Days: The Freak Building,3.8, (58),1h 1m,Adventure
404. Mesken (Messuage),7.5, (36),1h 42m,Adventure
405. Wonderland,6.8, (12),2h,Adventure
406. The Bigfoot Prophecy,4.8, (23),1h 57m,Adventure
408. Novyy god v Beryozovke,7.1, (98),1h 34m,Adventure
409. Boom!,8.3, (10),1h 30m,Adventure
410. Tayna Chyornoy Ruki,5.7, (22),1h 24m,Adventure
411. YA - medved,4.9, (61),1h 37m,Adventure
413. V potoke trekh stikhiy,5.3, (40),1h 25m,Adventure
419. Frankenstein Theater: The Magic Sword,4.4, (22),1h 22m,Adventure
"420. Poymay sobaku, esli smozhesh",3.5, (36),1h 36m,Adventure
423. Applepictures the Poseidon Legacy,6.4, (19),1h 24m,Adventure
425. Antarctic Voyage,6.8, (6),48m,Adventure
427. Dandelion,8.9, (9),1h 35m,Adventure
428. Warrior Awang and Master Tok Gajah,4.6, (472),1h 58m,Adventure
432. Piri Reis: The Incredible Chart,6.8, (21),2h 18m,Adventure
433. Whites Only: Ade's Extremist Adventure,7.0, (27),1h 5m,Adventure
435. Luccas e Gi em: Dinossauros,3.5, (27),1h 31m,Adventure
436. Let's Go! Anpanman: Baikinman and Lulun,6.5, (7),1h 4m,Adventure
439. Turbozavry. God drakona,9.2, (42),48m,Adventure
440. Ngesot,4.8, (18),1h 27m,Adventure
441. Colour Palette,9.0, (23),1h 27m,Adventure
443. Dracu Ra,5.5, (34),1h 46m,Adventure
448. Chyortov kamen,6.4, (9),1h 45m,Adventure
450. Abar Arownne Din Ratri,7.8, (7),1h 51m,Adventure
455. Mukhadrakon,5.3, (16),1h 49m,Adventure
458. Kyle and the Last Emerald 2,8.4, (7),15m,Adventure
460. Suvorovets 1944,5.6, (8),1h 30m,Adventure
463. Banana Boat,5.7, (19),1h 18m,Adventure
467. Selebryata,3.6, (20),1h 33m,Adventure
468. Príncipe Lu e a Lenda do Dragão,4.2, (27),1h 30m,Adventure
475. LUDA,7.2, (6),1h 26m,Adventure
489. Skazochnyy patrul. Shou prodolzhayetsya,7.2, (11),1h 5m,Adventure
505. PW V: Tears of the Fallen,8.2, (11),1h,Adventure
508. Beyond existence,5.8, (10),1h 35m,Adventure
509. Sehnsucht nach Firdaws,8.5, (6),1h 43m,Adventure
511. StarGazer: The Need of the Many,5.0, (9),47m,Adventure
512. I'm Professional,3.7, (8),1h 35m,Adventure
523. Okhota na russkogo geniya,2.6, (7),1h 11m,Adventure
532. Isle: Alpha One,8.4, (7),1h 37m,Adventure
534. The Kingfish 2,7.9, (10),1h 12m,Adventure
552. The Blinkless,7.8, (12),59m,Adventure
556. Gostya iz kosmosa,8.5, (6),1h 10m,Adventure
580. Beyaz Zenciler: Yapim Asamasi,8.6, (5),55m,Adventure
591. Lajjpal,9.0, (8),4h 12m,Adventure
